"TOA5","009_REN","CR800","E44088","CR800.Std.32.05","CPU:Acker_V2_70_test.CR8","610","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2023-01-01 00:00:00",3217,15.18,63.06,0,0,275.9,2.352,152.6,11.77,"NAN","NAN","NAN",0,0,3.83
"2023-01-01 00:10:00",3218,15.28,62.61,0,0,275.9,2.54,151.8,10.35,"NAN","NAN","NAN",0,0,4.06
"2023-01-01 00:20:00",3219,15.35,62.22,0,0,275.9,2.221,152.1,15.51,"NAN","NAN","NAN",0,0,4.05
"2023-01-01 00:30:00",3220,15.18,62.84,0,0,275.9,2.363,149.5,13.49,"NAN","NAN","NAN",0,0,4.15
"2023-01-01 00:40:00",3221,15.07,63.19,0,0,275.9,2.122,155.8,15.26,"NAN","NAN","NAN",0,0,3.66
"2023-01-01 00:50:00",3222,15.06,63.08,0,0,275.9,2.364,148.2,16.96,"NAN","NAN","NAN",0,0,3.74
"2023-01-01 01:00:00",3223,15,63.14,0,0,275.9,2.076,151.5,13.16,"NAN","NAN","NAN",0,0,3.23
"2023-01-01 01:10:00",3224,14.93,63.31,0,0,275.9,2.353,151.8,13.45,"NAN","NAN","NAN",0,0,4.65
"2023-01-01 01:20:00",3225,14.97,63.09,0,0,275.9,2.283,152.3,11.94,"NAN","NAN","NAN",0,0,3.59
"2023-01-01 01:30:00",3226,14.82,63.64,0,0,275.9,2.047,147.1,15.15,"NAN","NAN","NAN",0,0,3.23
"2023-01-01 01:40:00",3227,14.64,64.27,0,0,275.9,2.095,150.4,14.61,"NAN","NAN","NAN",0,0,4.3
"2023-01-01 01:50:00",3228,14.6,64.36,0,0,275.9,2.727,152.2,16.3,"NAN","NAN","NAN",0,0,4.84
"2023-01-01 02:00:00",3229,14.68,64.13,0,0,275.9,2.826,157.1,13.92,"NAN","NAN","NAN",0,0,4.2
"2023-01-01 02:10:00",3230,14.74,63.92,0,0,275.9,2.897,162.6,11.93,"NAN","NAN","NAN",0,0,5.31
"2023-01-01 02:20:00",3231,14.59,64.42,0,0,276,2.546,163.9,12.3,"NAN","NAN","NAN",0,0,4.04
"2023-01-01 02:30:00",3232,14.55,64.55,0,0,276,2.412,165.1,15.41,"NAN","NAN","NAN",0,0,3.65
"2023-01-01 02:40:00",3233,14.5,64.62,0,0,275.9,2.847,157.9,14.58,"NAN","NAN","NAN",0,0,5.65
"2023-01-01 02:50:00",3234,14.55,64.31,0,0,275.9,3.314,159.5,12.84,"NAN","NAN","NAN",0,0,5.77
"2023-01-01 03:00:00",3235,14.55,64.19,0,0,275.9,3.408,157.8,10.96,"NAN","NAN","NAN",0,0,4.73
"2023-01-01 03:10:00",3236,14.45,64.51,0,0,275.9,2.874,162.9,11.04,"NAN","NAN","NAN",0,0,4.9
"2023-01-01 03:20:00",3237,14.3,65.13,0,0,275.9,2.811,161.8,12.65,"NAN","NAN","NAN",0,0,5
"2023-01-01 03:30:00",3238,14.46,64.42,0,0,275.9,3.034,153,13.4,"NAN","NAN","NAN",0,0,6.11
"2023-01-01 03:40:00",3239,14.49,64.28,0,0,275.9,2.857,159.5,12.5,"NAN","NAN","NAN",0,0,4.38
"2023-01-01 03:50:00",3240,14.69,63.49,0,0,275.9,2.746,163.9,18.99,"NAN","NAN","NAN",0,0,6.2
"2023-01-01 04:00:00",3241,14.49,64.17,0,0,275.9,2.251,162.8,15.83,"NAN","NAN","NAN",0,0,4.07
"2023-01-01 04:10:00",3242,14.61,63.65,0,0,275.9,2.494,165.4,17,"NAN","NAN","NAN",0,0,4.73
"2023-01-01 04:20:00",3243,14.53,63.77,0,0,275.9,1.789,160.9,20.98,"NAN","NAN","NAN",0,0,2.96
"2023-01-01 04:30:00",3244,14.31,64.38,0,0,275.9,1.625,157.9,19.69,"NAN","NAN","NAN",0,0,2.94
"2023-01-01 04:40:00",3245,14.19,64.48,0,0,275.9,1.16,166.3,28.88,"NAN","NAN","NAN",0,0,3.23
"2023-01-01 04:50:00",3246,14.05,64.7,0,0,276,1.322,162.3,34.4,"NAN","NAN","NAN",0,0,2.95
"2023-01-01 05:00:00",3247,14.35,63.15,0,0,276,1.679,167.5,24.59,"NAN","NAN","NAN",0,0,3.46
"2023-01-01 05:10:00",3248,14.43,61.88,0,0,275.9,1.888,162.9,23.41,"NAN","NAN","NAN",0,0,3.47
"2023-01-01 05:20:00",3249,14.58,60.11,0,0,275.8,1.667,167.6,19.71,"NAN","NAN","NAN",0,0,3.39
"2023-01-01 05:30:00",3250,14.42,60.03,0,0,275.6,1.944,156.8,22.8,"NAN","NAN","NAN",0,0,3.04
"2023-01-01 05:40:00",3251,13.99,62.27,0,0,275.5,1.856,140.9,16.12,"NAN","NAN","NAN",0,0,3.16
"2023-01-01 05:50:00",3252,13.46,64.33,0,0,275.9,1.694,147,19.25,"NAN","NAN","NAN",0,0,3.2
"2023-01-01 06:00:00",3253,13.03,66.03,0,0,275.9,1.626,146.8,19.09,"NAN","NAN","NAN",0,0,3.28
"2023-01-01 06:10:00",3254,13.13,65.11,0,0,275.9,1.596,147,16.57,"NAN","NAN","NAN",0,0,3.06
"2023-01-01 06:20:00",3255,12.97,65.64,0,0,275.9,1.621,150.1,21.73,"NAN","NAN","NAN",0,0,2.7
"2023-01-01 06:30:00",3256,12.86,65.64,0,0,276,1.406,155.9,24.4,"NAN","NAN","NAN",0,0,3.41
"2023-01-01 06:40:00",3257,14.09,59.73,0,0,275.7,1.953,162.3,27.3,"NAN","NAN","NAN",0,0,3.88
"2023-01-01 06:50:00",3258,14.29,58.54,0,0,275.4,1.576,172.3,23.28,"NAN","NAN","NAN",0,0,2.62
"2023-01-01 07:00:00",3259,14.37,58.52,0,0,275.4,1.507,171.1,37.19,"NAN","NAN","NAN",0,0,4.81
"2023-01-01 07:10:00",3260,14.28,59.31,0,0,275.4,1.381,147.9,22.14,"NAN","NAN","NAN",0,0,3.41
"2023-01-01 07:20:00",3261,13.79,61.52,0,0,275.7,1.592,149.1,28.63,"NAN","NAN","NAN",0,0,3.39
"2023-01-01 07:30:00",3262,13.87,61.51,0,0,275.6,1.599,152.2,23.12,"NAN","NAN","NAN",0,0,3.35
"2023-01-01 07:40:00",3263,14.06,61.08,0,0,275.6,1.938,151.1,11.81,"NAN","NAN","NAN",0,0,3.77
"2023-01-01 07:50:00",3264,13.61,63.33,0,0.017,275.7,2.096,148.2,18.1,"NAN","NAN","NAN",0,0,3.77
"2023-01-01 08:00:00",3265,13.15,65.43,0,0.59,275.9,1.521,140,14.65,"NAN","NAN","NAN",0,0,2.7
"2023-01-01 08:10:00",3266,12.8,67.15,0,1.686,276,1.864,136.4,18.59,"NAN","NAN","NAN",0,0,3.3
"2023-01-01 08:20:00",3267,12.71,67.66,0,6.482,276,1.888,145.2,15.92,"NAN","NAN","NAN",0,0,3.21
"2023-01-01 08:30:00",3268,12.7,67.91,0,13.05,276,2.3,132.2,14.51,"NAN","NAN","NAN",0,0,3.51
"2023-01-01 08:40:00",3269,12.52,68.84,0,22.96,276,2.099,134.2,10.58,"NAN","NAN","NAN",0,0,3.17
"2023-01-01 08:50:00",3270,12.58,68.74,0,26.3,276,2.24,132.7,11.59,"NAN","NAN","NAN",0,0,3.92
"2023-01-01 09:00:00",3271,12.72,68.21,0,35.32,275.9,1.821,136.1,13.67,"NAN","NAN","NAN",0,0,3.13
"2023-01-01 09:10:00",3272,13.18,66.16,0,46.97,276,2.085,132,11.86,"NAN","NAN","NAN",0,0,3.51
"2023-01-01 09:20:00",3273,13.49,64.8,0,44.59,276,2.024,138,10.4,"NAN","NAN","NAN",0,0,3.31
"2023-01-01 09:30:00",3274,13.53,64.46,0,40.58,276,2.378,137.5,12.28,"NAN","NAN","NAN",0,0,4.33
"2023-01-01 09:40:00",3275,13.66,63.99,0,52.94,275.9,2.048,144,14.09,"NAN","NAN","NAN",0,0,3.31
"2023-01-01 09:50:00",3276,14.38,61.15,0,98.1,275.5,2.588,143.5,13.84,"NAN","NAN","NAN",0,0,4.71
"2023-01-01 10:00:00",3277,14.79,59.93,0,131.3,275.3,2.263,145.2,17,"NAN","NAN","NAN",0,0,4.2
"2023-01-01 10:10:00",3278,15.2,58.67,0,152.5,275.3,1.95,146.2,15.99,"NAN","NAN","NAN",0,0,3.55
"2023-01-01 10:20:00",3279,15.62,57.62,0,192.9,275.2,1.808,150.4,15.09,"NAN","NAN","NAN",0,0,3.45
"2023-01-01 10:30:00",3280,15.82,57.25,0,202.2,274.8,1.962,144.1,15.26,"NAN","NAN","NAN",0,0,3.4
"2023-01-01 10:40:00",3281,15.83,57.59,0,196.8,274.6,1.859,135.6,10.53,"NAN","NAN","NAN",0,0,3.67
"2023-01-01 10:50:00",3282,16.06,56.38,0,207.2,274.6,1.839,143.4,16.98,"NAN","NAN","NAN",0,0,3.76
"2023-01-01 11:00:00",3283,16.47,54.62,0,258.1,274.6,2.079,149.3,14.23,"NAN","NAN","NAN",0,0,3.52
"2023-01-01 11:10:00",3284,16.82,53.64,0,267.5,274.6,2.083,144.1,14.84,"NAN","NAN","NAN",0,0,4.56
"2023-01-01 11:20:00",3285,16.95,52.88,0,257.7,274.5,1.876,151.6,14.94,"NAN","NAN","NAN",0,0,3.29
"2023-01-01 11:30:00",3286,17.29,52.12,0,236.1,273.9,1.393,163.6,22.12,"NAN","NAN","NAN",0,0,2.43
"2023-01-01 11:40:00",3287,17.11,52.39,0,200.2,274,1.478,156.3,17.04,"NAN","NAN","NAN",0,0,3.12
"2023-01-01 11:50:00",3288,17.03,52.6,0,251.5,274,1.724,144.5,14.09,"NAN","NAN","NAN",0,0,3.32
"2023-01-01 12:00:00",3289,17.4,51.67,0,247.8,273.9,1.152,160.5,25.4,"NAN","NAN","NAN",0,0,2.11
"2023-01-01 12:10:00",3290,17.53,49.86,0,229.1,273.9,1.596,178.6,22.71,"NAN","NAN","NAN",0,0,2.9
"2023-01-01 12:20:00",3291,17.37,49.57,0,227.2,273.9,1.498,201.8,36.22,"NAN","NAN","NAN",0,0,2.87
"2023-01-01 12:30:00",3292,17.59,48.22,0,248.2,273.9,1.485,189.8,40.86,"NAN","NAN","NAN",0,0,2.68
"2023-01-01 12:40:00",3293,17.72,47.54,0,269.7,273.8,1.833,174.2,27.15,"NAN","NAN","NAN",0,0,3.86
"2023-01-01 12:50:00",3294,17.79,47.3,0,253.4,273.5,1.601,190.6,31.02,"NAN","NAN","NAN",0,0,3.98
"2023-01-01 13:00:00",3295,17.83,47.43,0,274.4,273.5,1.739,204.8,26.45,"NAN","NAN","NAN",0,0,3.95
"2023-01-01 13:10:00",3296,17.8,47.02,0,307.7,273.2,2.051,195,18.01,"NAN","NAN","NAN",0,0,3.18
"2023-01-01 13:20:00",3297,18.06,46.67,0,297.5,273.2,2.094,194.3,19.34,"NAN","NAN","NAN",0,0,4.03
