"TOA5","036_WAN","CR800","45590","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2024-01-01 00:00:00",28758,3.769,93.4,0,0.078,267.5,1.01,267.4,17.26,"NAN","NAN","NAN",0,0,2.17
"2024-01-01 00:10:00",28759,3.778,93.7,0,0.1,267.5,1.084,265.3,21.18,"NAN","NAN","NAN",0,0,2.78
"2024-01-01 00:20:00",28760,3.751,94,0,0.006,267.5,1.122,286.4,21.19,"NAN","NAN","NAN",0,0,2.63
"2024-01-01 00:30:00",28761,3.807,93.7,0,0.122,267.5,1.517,273.4,16.7,"NAN","NAN","NAN",0,0,2.84
"2024-01-01 00:40:00",28762,3.849,92.9,0,0.05,267.5,1.648,269.8,19.25,"NAN","NAN","NAN",0,0,3.53
"2024-01-01 00:50:00",28763,3.845,92.6,0,0.133,267.5,2.434,275.2,13.26,"NAN","NAN","NAN",0,0,4.46
"2024-01-01 01:00:00",28764,3.778,92.4,0,0.089,267.5,1.63,269.4,16.76,"NAN","NAN","NAN",0,0,3.32
"2024-01-01 01:10:00",28765,3.951,92.4,0,0.1,267.3,1.556,266.1,13.59,"NAN","NAN","NAN",0,0,3.03
"2024-01-01 01:20:00",28766,4.108,92.1,0,0.022,266.9,1.76,262.9,15.65,"NAN","NAN","NAN",0,0,3.42
"2024-01-01 01:30:00",28767,4.043,91.9,0,0.128,266.8,2.284,269.7,11.56,"NAN","NAN","NAN",0,0,4.04
"2024-01-01 01:40:00",28768,3.812,92.4,0,0.017,266.9,2.404,270.4,15.13,"NAN","NAN","NAN",0,0,4.21
"2024-01-01 01:50:00",28769,3.824,92.5,0,0.167,266.8,1.878,271.7,14.09,"NAN","NAN","NAN",0,0,3.23
"2024-01-01 02:00:00",28770,3.902,92.5,0,0.061,266.8,1.806,269.7,16.81,"NAN","NAN","NAN",0,0,3.97
"2024-01-01 02:10:00",28771,3.996,92,0,0.105,266.8,1.632,271.2,14.29,"NAN","NAN","NAN",0,0,3.21
"2024-01-01 02:20:00",28772,4.13,91.3,0,0.017,266.8,1.89,265.8,14.71,"NAN","NAN","NAN",0,0,4.67
"2024-01-01 02:30:00",28773,4.122,91.4,0,0.189,266.8,1.858,264.6,12.98,"NAN","NAN","NAN",0,0,5.15
"2024-01-01 02:40:00",28774,4.177,90.9,0,0.011,266.8,1.824,266,14.87,"NAN","NAN","NAN",0,0,3.65
"2024-01-01 02:50:00",28775,4.36,90.1,0,0.144,266.8,1.785,264.2,13.48,"NAN","NAN","NAN",0,0,4.96
"2024-01-01 03:00:00",28776,4.369,89.8,0,0.072,266.8,1.809,262.3,14.63,"NAN","NAN","NAN",0,0,3.91
"2024-01-01 03:10:00",28777,4.363,90,0,0.094,266.8,2.199,257.8,12.09,"NAN","NAN","NAN",0,0,4.05
"2024-01-01 03:20:00",28778,4.447,89.5,0,0.028,266.8,2.268,261,12.59,"NAN","NAN","NAN",0,0,3.48
"2024-01-01 03:30:00",28779,4.328,91.4,0.2,0.15,267.2,2.436,264.4,13,"NAN","NAN","NAN",0,0,5.43,XXXX,XXXX,XXXX,XXXX,"2024-01-01 03:30:00",28779,4.328,91.4,0.2,0.15,267.2,2.436,264.4,13,"NAN","NAN","NAN",0,0,5.43
"2024-01-01 03:40:00",28780,4.14,93.1,0.3,0.006,267.5,2.62,267.6,12.87,"NAN","NAN","NAN",0,0,4.68,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 03:50:00",28781,3.958,94.8,0.7,0.167,268,2.879,270.6,11.77,"NAN","NAN","NAN",0,0,7,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 04:00:00",28782,3.813,95.2,0.1,0.105,268.2,2.481,267.6,15.35,"NAN","NAN","NAN",0,0,5.11,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 04:10:00",28783,3.843,95.9,0.1,0.089,268.2,1.917,268.3,12.19,"NAN","NAN","NAN",0,0,3.57,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 04:20:00",28784,4.016,96,0,0.028,268.2,2.178,265.3,13.55,"NAN","NAN","NAN",0,0,4.09
"2024-01-01 04:30:00",28785,4.039,96.4,0.1,0.15,268.2,1.96,266.3,14.56,"NAN","NAN","NAN",0,0,3.56,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 04:40:00",28786,4.072,96.8,0,0.028,268.2,2.183,264,15.88,"NAN","NAN","NAN",0,0,4.64
"2024-01-01 04:50:00",28787,4.126,96.2,0.1,0.178,268.2,2.639,264.4,14.35,"NAN","NAN","NAN",0,0,4.86,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 05:00:00",28788,4.018,95.7,0,0.083,268,2.851,262,13.97,"NAN","NAN","NAN",0,0,5.31
"2024-01-01 05:10:00",28789,3.915,95.8,0,0.094,267.6,2.658,261.8,15.97,"NAN","NAN","NAN",0,0,5.99
"2024-01-01 05:20:00",28790,3.872,95.8,0,0.006,267.5,2.186,264.4,14.08,"NAN","NAN","NAN",0,0,5
"2024-01-01 05:30:00",28791,3.926,95.6,0,0.133,267.5,2.64,265.2,11.5,"NAN","NAN","NAN",0,0,5.3
"2024-01-01 05:40:00",28792,3.983,94.9,0,0.028,267.5,2.53,270.8,14.12,"NAN","NAN","NAN",0,0,5.03
"2024-01-01 05:50:00",28793,3.979,94.7,0,0.155,267.5,2.762,270.7,9.54,"NAN","NAN","NAN",0,0,5.81
"2024-01-01 06:00:00",28794,3.994,94.5,0,0.067,267.5,2.584,275.9,15.43,"NAN","NAN","NAN",0,0,5.07
"2024-01-01 06:10:00",28795,4.009,94.5,0,0.083,267.5,2.871,270.9,12.8,"NAN","NAN","NAN",0,0,6.74
"2024-01-01 06:20:00",28796,4.065,94.1,0,0.028,267.5,2.619,269.3,13.88,"NAN","NAN","NAN",0,0,4.78
"2024-01-01 06:30:00",28797,4.03,94.6,0,0.139,267.5,2.521,273,11.77,"NAN","NAN","NAN",0,0,5.45
"2024-01-01 06:40:00",28798,4.124,94.3,0,0.011,267.5,2.869,267.1,11.88,"NAN","NAN","NAN",0,0,5.43
"2024-01-01 06:50:00",28799,4.139,94.7,0,0.178,267.5,2.73,269.4,13.02,"NAN","NAN","NAN",0,0,5.09
"2024-01-01 07:00:00",	28800,	4.087,	95.1,	0,	0.1,	267.6,	2.551,	266.2,	13.86,	"NAN",	"NAN",	"NAN",	0,	0,	4.83
"2024-01-01 07:10:00",	28801,	4.003,	95.1,	0.2,	0.083,	268,	2.608,	270.8,	12.14,	"NAN",	"NAN",	"NAN",	0,	0,	4.36,XXXX,XXXX,XXXX,XXXX,
"2024-01-01 07:20:00",	28802,	4.057,	94.4,	0,	0.022,	267.8,	2.563,	275.2,	14.32,	"NAN",	"NAN",	"NAN",	0,	0,	4.88
"2024-01-01 07:30:00",	28803,	4.274,	93.6,	0,	0.194,	267.5,	2.487,	272.5,	14.28,	"NAN",	"NAN",	"NAN",	0,	0,	5.11
"2024-01-01 07:40:00",	28804,	4.401,	93.3,	0,	0.089,	267.5,	2.403,	267.8,	12.86,	"NAN",	"NAN",	"NAN",	0,	0,	4.5
"2024-01-01 07:50:00",	28805,	4.539,	92.5,	0,	0.222,	267.5,	2.444,	266.8,	13.77,	"NAN",	"NAN",	"NAN",	0,	0,	4.81
"2024-01-01 08:00:00",	28806,	4.668,	91.1,	0,	0.372,	267.5,	2.693,	267.8,	11.92,	"NAN",	"NAN",	"NAN",	0,	0,	4.5
"2024-01-01 08:10:00",	28807,	4.717,	90,	0,	1.544,	267.5,	2.737,	270.1,	11.03,	"NAN",	"NAN",	"NAN",	0,	0,	4.47
"2024-01-01 08:20:00",	28808,	4.65,	89.5,	0,	3.559,	267.5,	2.683,	273.1,	13.48,	"NAN",	"NAN",	"NAN",	0,	0,	5.34
"2024-01-01 08:30:00",	28809,	4.791,	88.1,	0,	6.263,	267.5,	2.726,	272.4,	11.27,	"NAN",	"NAN",	"NAN",	0,	0,	5.22
"2024-01-01 08:40:00",	28810,	4.867,	87.8,	0,	11.09,	267.5,	2.883,	271.1,	15.09,	"NAN",	"NAN",	"NAN",	0,	0,	4.34
"2024-01-01 08:50:00",	28811,	4.881,	87.3,	0,	15.22,	267.4,	2.503,	269.3,	12.93,	"NAN",	"NAN",	"NAN",	0,	0,	4.55
"2024-01-01 09:00:00",	28812,	5.083,	86.1,	0,	23.57,	266.9,	2.831,	266.3,	14.63,	"NAN",	"NAN",	"NAN",	0,	0,	7.26
"2024-01-01 09:10:00",	28813,	5.231,	85,	0,	38.63,	266.8,	2.39,	266.6,	14.89,	"NAN",	"NAN",	"NAN",	0,	0,	4.55
"2024-01-01 09:20:00",	28814,	5.451,	84.4,	0,	81.8,	266.8,	2.682,	271.7,	14.86,	"NAN",	"NAN",	"NAN",	0,	0,	5.38
"2024-01-01 09:30:00",	28815,	5.613,	83,	0,	45.71,	266.7,	2.865,	272.7,	13.89,	"NAN",	"NAN",	"NAN",	0,	0,	5.68
"2024-01-01 09:40:00",	28816,	5.595,	83.2,	0,	38.86,	266.2,	3.008,	274.9,	16.48,	"NAN",	"NAN",	"NAN",	0,	0,	5.54
"2024-01-01 09:50:00",	28817,	5.44,	85.1,	0,	37.32,	266.3,	2.525,	277.3,	17.09,	"NAN",	"NAN",	"NAN",	0,	0,	4.25
"2024-01-01 10:00:00",	28818,	5.423,	84.8,	0,	39.42,	266.3,	2.646,	273.3,	15.72,	"NAN",	"NAN",	"NAN",	0,	0,	5.1
"2024-01-01 10:10:00",	28819,	5.497,	84.4,	0,	42.93,	266.2,	1.94,	269.6,	18.39,	"NAN",	"NAN",	"NAN",	0,	0,	3.59
"2024-01-01 10:20:00",	28820,	5.701,	83.2,	0,	72.95,	266.2,	2.491,	270.3,	15.08,	"NAN",	"NAN",	"NAN",	0,	0,	5.76
"2024-01-01 10:30:00",	28821,	5.81,	83,	0,	70.9,	266.2,	2.197,	257.2,	14.17,	"NAN",	"NAN",	"NAN",	0,	0,	5.83
"2024-01-01 10:40:00",	28822,	5.78,	83.4,	0,	79.8,	266.2,	1.986,	258.3,	15.29,	"NAN",	"NAN",	"NAN",	0,	0,	4.46
"2024-01-01 10:50:00",	28823,	5.967,	82.3,	0,	88.2,	266.2,	2.367,	262.4,	12.52,	"NAN",	"NAN",	"NAN",	0,	0,	5.13
"2024-01-01 11:00:00",	28824,	6.07,	81.9,	0,	99.2,	266.2,	2.113,	265.7,	14.88,	"NAN",	"NAN",	"NAN",	0,	0,	4.09
"2024-01-01 11:10:00",	28825,	6.314,	81.1,	0,	142.5,	266.2,	2.081,	259.8,	16.47,	"NAN",	"NAN",	"NAN",	0,	0,	4.14
"2024-01-01 11:20:00",	28826,	6.526,	79.52,	0,	211.8,	266.1,	2.386,	260.6,	13.81,	"NAN",	"NAN",	"NAN",	0,	0,	4.65
"2024-01-01 11:30:00",	28827,	7.06,	77.22,	0,	266.3,	265.5,	2.638,	257.6,	17.17,	"NAN",	"NAN",	"NAN",	0,	0,	4.75
"2024-01-01 11:40:00",	28828,	7.458,	75.68,	0,	317.4,	265.4,	2.645,	255.2,	14.16,	"NAN",	"NAN",	"NAN",	0,	0,	4.77
"2024-01-01 11:50:00",	28829,	7.376,	75.91,	0,	202.5,	265.3,	2.55,	254.9,	13.06,	"NAN",	"NAN",	"NAN",	0,	0,	5.1
"2024-01-01 12:00:00",	28830,	7.08,	76.03,	0,	170.9,	265.5,	2.553,	258,	11.75,	"NAN",	"NAN",	"NAN",	0,	0,	4.75
"2024-01-01 12:10:00",	28831,	7.793,	74.3,	0,	321.9,	265.2,	2.294,	259.6,	16.37,	"NAN",	"NAN",	"NAN",	0,	0,	4.55
"2024-01-01 12:20:00",	28832,	7.666,	73.62,	0,	184.5,	264.8,	2.472,	263.1,	16.92,	"NAN",	"NAN",	"NAN",	0,	0,	5.8
"2024-01-01 12:30:00",	28833,	7.899,	73.1,	0,	299.1,	265,	2.136,	264.2,	15.49,	"NAN",	"NAN",	"NAN",	0,	0,	5.62
"2024-01-01 12:40:00",	28834,	8.65,	70.79,	0,	316.3,	264.8,	2.154,	263.8,	16.16,	"NAN",	"NAN",	"NAN",	0,	0,	4.98
"2024-01-01 12:50:00",	28835,	8.11,	70.67,	0,	253.2,	264.8,	2.844,	269,	16.83,	"NAN",	"NAN",	"NAN",	0,	0,	5.51
"2024-01-01 13:00:00",	28836,	8.12,	71.41,	0,	270.3,	264.8,	2.559,	271.4,	20.48,	"NAN",	"NAN",	"NAN",	0,	0,	5.84
"2024-01-01 13:10:00",	28837,	7.74,	72.38,	0,	174.3,	264.8,	2.394,	280.3,	17.11,	"NAN",	"NAN",	"NAN",	0,	0,	5.08
"2024-01-01 13:20:00",	28838,	7.886,	72.67,	0,	223,	264.8,	2.133,	278.4,	25.41,	"NAN",	"NAN",	"NAN",	0,	0,	4.85
