"TOA5","075_WES","CR800","18375","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2023-01-01 00:00:00",5517,13.5,69.14,0,0,274,3.755,225.9,10.64,12.44,10.14,0.242,0.046,7.133,6.01
"2023-01-01 00:10:00",5518,14.81,62.98,0,0,273.4,4.708,232.7,5.405,13.7,10.21,0.242,0.046,7.131,7.03
"2023-01-01 00:20:00",5519,14.91,62.2,0,0,273.3,4.654,230.6,6.055,13.95,10.25,0.242,0.046,7.126,6.41
"2023-01-01 00:30:00",5520,14.83,62.25,0,0,273.3,4.506,229.3,7.208,13.88,10.28,0.242,0.046,7.123,7.1
"2023-01-01 00:40:00",5521,15.12,60.95,0,0,273.3,5.39,232.8,8.26,14.14,10.33,0.242,0.046,7.129,8.61
"2023-01-01 00:50:00",5522,15.22,60.54,0,0,273.3,5.986,238.1,8.07,14.3,10.35,0.242,0.046,7.127,11.47
"2023-01-01 01:00:00",5523,15.39,59.63,0,0,273.3,6.379,237.1,7.691,14.52,10.41,0.242,0.046,7.122,10.91
"2023-01-01 01:10:00",5524,15.35,59.84,0,0,273.1,6.228,238.9,6.315,14.5,10.46,0.242,0.046,7.122,9.33
"2023-01-01 01:20:00",5525,15.47,59.22,0,0,272.9,6.403,238.8,8.11,14.63,10.48,0.242,0.046,7.114,9.47
"2023-01-01 01:30:00",5526,15.46,59.17,0,0,272.8,6.183,233.7,8.03,14.63,10.51,0.242,0.046,7.124,8.97
"2023-01-01 01:40:00",5527,15.44,59.36,0,0,272.6,5.9,233.2,5.684,14.66,10.55,0.242,0.046,7.116,9.67
"2023-01-01 01:50:00",5528,15.39,59.57,0,0,272.6,6.001,234.2,7.458,14.6,10.56,0.242,0.046,7.121,8.49
"2023-01-01 02:00:00",5529,15.37,59.64,0,0,272.6,5.942,232.4,6.86,14.61,10.59,0.242,0.046,7.114,8.43
"2023-01-01 02:10:00",5530,15.19,60.36,0,0,272.6,5.498,233.8,8.47,14.43,10.61,0.242,0.046,7.123,9.08
"2023-01-01 02:20:00",5531,15.03,60.92,0,0,272.6,4.817,233,8.37,14.17,10.58,0.241,0.046,7.124,6.89
"2023-01-01 02:30:00",5532,14.82,61.71,0,0,272.6,3.616,224.1,8.61,14,10.58,0.241,0.046,7.118,5.56
"2023-01-01 02:40:00",5533,14.79,61.79,0,0,272.6,3.549,223.1,10.78,13.95,10.56,0.241,0.046,7.126,5.43
"2023-01-01 02:50:00",5534,14.74,61.86,0,0,272.6,3.414,217.4,16.62,13.96,10.54,0.241,0.046,7.128,6.49
"2023-01-01 03:00:00",5535,14.46,63.17,0,0,272.8,4.217,232.3,11.47,13.56,10.53,0.241,0.046,7.128,7.87
"2023-01-01 03:10:00",5536,14.61,62.58,0,0,272.7,4.691,237.1,9.78,13.71,10.55,0.241,0.046,7.138,7.14
"2023-01-01 03:20:00",5537,14.62,62.4,0,0,272.8,5.2,240.8,8.56,13.66,10.52,0.241,0.046,7.14,7.59
"2023-01-01 03:30:00",5538,14.59,62.56,0,0,272.7,5.359,240.2,7.719,13.63,10.55,0.241,0.046,7.139,7.71
"2023-01-01 03:40:00",5539,14.39,63.37,0,0,272.6,4.683,240.6,8.11,13.45,10.54,0.241,0.046,7.145,7.37
"2023-01-01 03:50:00",5540,13.97,64.78,0,0,272.7,3.054,215.3,24.09,13.04,10.5,0.241,0.046,7.151,5.18
"2023-01-01 04:00:00",5541,11.41,75.8,0,0,273.1,1.757,186,15.9,10.83,10.45,0.241,0.046,7.152,3.36
"2023-01-01 04:10:00",5542,11.15,77.11,0,0,273.2,1.778,187.6,10.37,10.35,10.41,0.241,0.046,7.154,2.79
"2023-01-01 04:20:00",5543,10.72,78.88,0,0,273.4,1.396,188.9,21.52,9.78,10.33,0.241,0.046,7.16,3.01
"2023-01-01 04:30:00",5544,10.72,78.98,0,0,273.9,1.824,192.9,13.06,9.79,10.29,0.241,0.046,7.159,3.38
"2023-01-01 04:40:00",5545,10.55,79.65,0,0,273.9,1.335,192.6,13.29,9.66,10.23,0.241,0.046,7.166,2.24
"2023-01-01 04:50:00",5546,10.66,78.99,0,0,274,1.274,188.6,13.91,9.6,10.19,0.241,0.046,7.171,2.11
"2023-01-01 05:00:00",5547,10.53,79.38,0,0,274,1.43,195,17.44,9.41,10.14,0.241,0.046,7.176,2.22
"2023-01-01 05:10:00",5548,10.52,78.94,0,0,274,1.102,199.9,15.9,9.37,10.1,0.241,0.046,7.178,2.03
"2023-01-01 05:20:00",5549,10.53,78.65,0,0,274,1.183,198.2,10.71,9.4,10.04,0.241,0.046,7.179,2.1
"2023-01-01 05:30:00",5550,10.64,78.79,0,0,274,1.795,197.9,11.63,9.58,10,0.241,0.046,7.175,2.84
"2023-01-01 05:40:00",5551,10.74,78.23,0,0,274,1.883,192.6,12.19,9.95,9.96,0.241,0.046,7.179,3.02
"2023-01-01 05:50:00",5552,10.53,78.33,0,0,274,1.646,214,16.43,9.6,9.93,0.241,0.046,7.178,3.18
"2023-01-01 06:00:00",5553,10.63,77.63,0,0,274,1.803,211.2,17.58,9.48,9.89,0.241,0.046,7.177,3.64
"2023-01-01 06:10:00",5554,10.89,75.86,0,0,274,1.54,197.2,15.99,9.8,9.85,0.24,0.046,7.177,2.74
"2023-01-01 06:20:00",5555,10.49,77.29,0,0,274,1.446,183.8,14.78,9.34,9.83,0.24,0.046,7.174,2.51
"2023-01-01 06:30:00",5556,10.46,77.58,0,0,274,1.774,181.4,11.57,9.02,9.81,0.24,0.046,7.171,3.18
"2023-01-01 06:40:00",5557,10.04,79.66,0,0,274,1.387,185.4,18.11,9.1,9.76,0.24,0.046,7.172,2.71
"2023-01-01 06:50:00",5558,10.21,79.36,0,0,274,1.506,203,16.75,9.19,9.74,0.24,0.046,7.17,3.1
"2023-01-01 07:00:00",5559,10.81,76.57,0,0,274.1,1.757,204.7,16.04,9.8,9.7,0.24,0.046,7.167,3.56
"2023-01-01 07:10:00",5560,10.97,75.97,0,0,274.1,1.895,197.1,11.86,10.12,9.69,0.24,0.046,7.163,3.37
"2023-01-01 07:20:00",5561,10.86,76.65,0,0,274.1,2.023,193.9,12.69,10.21,9.65,0.24,0.046,7.157,3.58
"2023-01-01 07:30:00",5562,10.59,78.24,0,0,274.1,2.08,210.2,14.56,9.96,9.64,0.24,0.046,7.152,3.81
"2023-01-01 07:40:00",5563,10.63,77.74,0,0,274,2.489,221.6,10.36,9.76,9.61,0.24,0.046,7.15,4.03
"2023-01-01 07:50:00",5564,10.75,76.55,0,0.384,274,2.579,217.1,10.71,9.96,9.6,0.24,0.046,7.145,4.06
"2023-01-01 08:00:00",5565,10.63,76.72,0,1.419,274,2.205,219.7,11.24,9.82,9.58,0.24,0.046,7.136,4.12
"2023-01-01 08:10:00",5566,10.98,74.56,0,3.24,274,2.721,219,10.89,9.96,9.58,0.24,0.046,7.13,4.88
"2023-01-01 08:20:00",5567,11.31,72.56,0,9.1,273.7,2.448,217.8,11.79,10.31,9.54,0.24,0.046,7.123,3.68
"2023-01-01 08:30:00",5568,11.22,73.21,0,18.7,273.7,2.243,207.6,13.5,10.41,9.55,0.24,0.046,7.116,4.57
"2023-01-01 08:40:00",5569,11.23,74.08,0,41.2,273.7,2.709,216.7,14.38,10.66,9.54,0.24,0.046,7.111,4.87
"2023-01-01 08:50:00",5570,11.32,74.16,0,60.73,273.8,2.771,216.3,15.79,10.95,9.55,0.24,0.046,7.102,4.66
"2023-01-01 09:00:00",5571,11.44,73.58,0,57.22,273.6,2.662,212,12.57,11.12,9.56,0.24,0.046,7.099,4.9
"2023-01-01 09:10:00",5572,11.48,73.99,0,84.3,273.6,2.276,220.3,15.25,11.28,9.58,0.24,0.046,7.09,4.18
"2023-01-01 09:20:00",5573,12.05,71.68,0,121.6,273.4,2.13,214.6,16.8,12.1,9.57,0.24,0.046,7.085,4.64
"2023-01-01 09:30:00",5574,13.1,65.61,0,117.4,273.4,2.887,219.9,13.69,12.9,9.63,0.24,0.046,7.08,5.48
"2023-01-01 09:40:00",5575,13.62,63.16,0,116.5,273.3,3.045,213.1,14.8,13.45,9.69,0.239,0.046,7.075,7.04
"2023-01-01 09:50:00",5576,13.25,65.4,0,98.5,273.3,2.634,206.9,15.03,13.24,9.71,0.239,0.046,7.07,4.5
"2023-01-01 10:00:00",5577,13.38,63.95,0,80.1,273.3,2.55,212.9,16.67,13,9.74,0.239,0.046,7.06,4.77
"2023-01-01 10:10:00",5578,13.1,65.88,0,80.6,273.3,2.562,206.5,14.24,12.91,9.78,0.239,0.046,7.054,3.77
"2023-01-01 10:20:00",5579,12.87,67.54,0,85.9,273.3,2.262,208.3,14.47,12.77,9.78,0.239,0.046,7.053,3.83
"2023-01-01 10:30:00",5580,13.44,63.22,0,111,273.3,3.05,223.2,9.24,13.02,9.82,0.239,0.046,7.045,5.67
"2023-01-01 10:40:00",5581,14.18,59.16,0,116.4,272.7,3.655,227,8.49,13.69,9.88,0.239,0.046,7.041,5.58
"2023-01-01 10:50:00",5582,14.37,58.79,0,155.1,272.6,2.935,222.7,13.3,14.18,9.92,0.239,0.045,7.035,4.36
"2023-01-01 11:00:00",5583,14.1,60.8,0,104.2,272.6,1.95,207,16.82,14.09,9.95,0.239,0.046,7.029,3.73
"2023-01-01 11:10:00",5584,12.87,70.39,0,105.8,272.9,2.385,176.5,10.2,13.05,9.96,0.239,0.045,7.027,3.65
"2023-01-01 11:20:00",5585,12.33,74.51,0,121.1,273.2,2.485,182.8,12.54,12.52,9.96,0.239,0.045,7.025,4.18
"2023-01-01 11:30:00",5586,12.73,71.85,0,155.1,273.2,2.034,192.5,12.51,13.05,10,0.239,0.045,7.022,3.39
"2023-01-01 11:40:00",5587,12.88,72.24,0,156.6,273.3,1.636,193.3,15.59,13.45,10.04,0.239,0.045,7.021,3.48
"2023-01-01 11:50:00",5588,13,71.91,0,151.5,273.3,1.778,206.8,14.4,13.55,10.07,0.239,0.045,7.02,3.45
"2023-01-01 12:00:00",5589,13.2,70.43,0,134.7,273.3,1.237,203.5,20.6,13.71,10.11,0.239,0.045,7.016,2.02
"2023-01-01 12:10:00",5590,13.67,66.14,0,129.6,273.3,1.765,220.6,14.98,13.84,10.15,0.239,0.046,7.017,3.31
"2023-01-01 12:20:00",5591,14.01,64.02,0,149.7,273.2,2.05,205.4,12.66,14.13,10.17,0.238,0.046,7.014,3.79
"2023-01-01 12:30:00",5592,14.33,64.23,0,211.8,272.8,2.184,204.1,17.58,14.92,10.23,0.238,0.045,7.014,4.76
"2023-01-01 12:40:00",5593,14.59,63.37,0,227,272.6,2.105,206.1,18.35,15.45,10.28,0.238,0.045,7.012,4.01
"2023-01-01 12:50:00",5594,15.44,56.24,0,277.6,272.5,3.338,214.4,19.37,16.25,10.35,0.238,0.045,7.012,6.32
