"TOA5","163_HOR","CR800","25940","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2023-01-01 00:00:00",5414,10.48,84.7,0,0,266.6,1.655,213.4,7.935,8.61,7.677,0.451,0.172,6.988,2.41
"2023-01-01 00:10:00",5415,10.11,85.3,0,0,266.8,1.167,251,50.24,8.05,7.668,0.451,0.172,6.984,2.05
"2023-01-01 00:20:00",5416,9.56,88,0,0,267.9,0.552,0,0,7.42,7.635,0.451,0.172,6.995,1.31
"2023-01-01 00:30:00",5417,9.81,87.1,0,0,268.1,1.022,238.1,29.1,7.352,7.642,0.451,0.172,6.99,1.77
"2023-01-01 00:40:00",5418,9.94,86.3,0,0,267.1,1.34,199.5,8.86,7.325,7.619,0.451,0.172,6.999,2.1
"2023-01-01 00:50:00",5419,10.31,84.8,0,0,266.6,1.816,201.3,5.543,7.942,7.608,0.451,0.172,6.997,2.45
"2023-01-01 01:00:00",5420,10.47,84.2,0,0,266.6,2.377,204.1,4.033,8.38,7.598,0.451,0.172,6.998,3.17
"2023-01-01 01:10:00",5421,10.42,84.2,0,0,266.6,2.233,207.6,5.134,8.53,7.588,0.451,0.172,7.003,3.01
"2023-01-01 01:20:00",5422,10.3,84.7,0,0,266.6,2.209,216.7,4.012,8.56,7.564,0.451,0.172,6.998,2.75
"2023-01-01 01:30:00",5423,10.41,84.1,0,0,266.6,2.436,213.7,4.606,8.63,7.557,0.451,0.172,7.004,3.14
"2023-01-01 01:40:00",5424,10.63,82.8,0,0,266.2,2.951,206.9,5.59,8.82,7.527,0.451,0.172,7.003,3.97
"2023-01-01 01:50:00",5425,10.85,81.9,0,0,265.9,3.066,203,4.598,9.12,7.519,0.451,0.172,7.006,4.18
"2023-01-01 02:00:00",5426,11,80.8,0,0,265.9,3.05,216.3,14.6,9.23,7.5,0.451,0.172,7.004,5.24
"2023-01-01 02:10:00",5427,13.25,71.56,0,0,265.4,5.486,232.7,8.43,11.47,7.497,0.451,0.172,6.997,8.6
"2023-01-01 02:20:00",5428,14.22,67.11,0,0,264.7,6.756,233,8.38,12.7,7.464,0.451,0.172,7.003,10.45
"2023-01-01 02:30:00",5429,14.39,66.36,0,0,264.5,7.235,234.8,6.816,12.91,7.456,0.451,0.172,7.006,11.63
"2023-01-01 02:40:00",5430,14.51,65.53,0,0,264.5,7.107,231.9,7.916,13.14,7.443,0.451,0.172,7.005,9.79
"2023-01-01 02:50:00",5431,14.34,65.9,0,0,264.5,6.85,232.4,7.416,12.97,7.424,0.451,0.172,7.002,10.22
"2023-01-01 03:00:00",5432,14.42,64.95,0,0,264.4,7.547,237.4,9.55,13.07,7.411,0.45,0.172,7.003,12.13
"2023-01-01 03:10:00",5433,14.66,63.84,0,0,264.4,8.15,242.3,7.561,13.37,7.405,0.45,0.172,6.999,12.3
"2023-01-01 03:20:00",5434,14.46,64.88,0,0,264.4,7.355,240.4,8.57,13.17,7.382,0.45,0.172,7.001,11.75
"2023-01-01 03:30:00",5435,14.24,66.09,0,0,264.4,6.785,242.3,7.899,12.94,7.386,0.45,0.172,6.995,9.14
"2023-01-01 03:40:00",5436,14.14,66.67,0,0,264.4,7.367,234.3,8.35,12.9,7.375,0.45,0.172,6.999,11.1
"2023-01-01 03:50:00",5437,14.17,66.54,0,0,264.4,7.948,233.1,7.092,12.93,7.38,0.45,0.172,7.001,10.64
"2023-01-01 04:00:00",5438,14.05,67.03,0,0,264.4,7.613,232,7.733,12.82,7.379,0.45,0.172,6.996,13.24
"2023-01-01 04:10:00",5439,13.89,67.65,0,0,264.4,6.782,234.7,7.531,12.64,7.384,0.45,0.172,6.994,11.26
"2023-01-01 04:20:00",5440,13.96,67.19,0,0,264.4,7.098,236.4,7.767,12.72,7.377,0.45,0.172,6.994,11.73
"2023-01-01 04:30:00",5441,14.02,66.9,0,0,264.4,7.204,233,8.34,12.82,7.394,0.45,0.172,6.992,10.07
"2023-01-01 04:40:00",5442,13.87,67.56,0,0,264.4,6.562,234,7.713,12.61,7.383,0.45,0.172,6.993,10.69
"2023-01-01 04:50:00",5443,13.41,69.22,0,0,264.5,4.95,224.8,15.75,12.21,7.389,0.45,0.172,6.99,8.79
"2023-01-01 05:00:00",5444,11.32,77.48,0,0,265.1,2.597,206.8,15.7,9.97,7.399,0.45,0.172,6.99,4.55
"2023-01-01 05:10:00",5445,11.24,78.01,0,0,265.4,3.173,208.1,20.1,9.5,7.411,0.45,0.172,6.988,6.29
"2023-01-01 05:20:00",5446,10.55,80.5,0,0,265.5,2.994,195.5,13.31,9.16,7.403,0.45,0.172,6.98,5.51
"2023-01-01 05:30:00",5447,10.39,81.5,0,0,265.8,3.566,213.2,9.13,8.87,7.42,0.45,0.172,6.987,5.31
"2023-01-01 05:40:00",5448,11.8,75.34,0,0,265.4,4.565,219.4,14.86,10.26,7.41,0.45,0.172,6.99,7.05
"2023-01-01 05:50:00",5449,12.94,70.26,0,0,265,5.989,227.5,12.25,11.48,7.424,0.45,0.172,6.985,10.37
"2023-01-01 06:00:00",5450,13.99,65.35,0,0,264.5,6.447,239.4,11.26,12.61,7.434,0.45,0.172,6.985,9.96
"2023-01-01 06:10:00",5451,13.29,68.09,0,0,264.5,4.712,226.1,11.7,11.94,7.445,0.45,0.172,6.979,7.22
"2023-01-01 06:20:00",5452,11.11,76.82,0,0,265.1,3.234,199.1,11.23,9.95,7.427,0.45,0.172,6.988,4.87
"2023-01-01 06:30:00",5453,10.87,77.97,0,0,265.1,3.644,200.8,9.68,9.54,7.433,0.45,0.172,6.983,4.98
"2023-01-01 06:40:00",5454,10.35,80.2,0,0,265.8,2.852,202.2,12.55,8.82,7.421,0.45,0.172,6.984,3.97
"2023-01-01 06:50:00",5455,10.16,81,0,0,265.8,3.287,202.6,8.28,8.63,7.421,0.45,0.172,6.988,4.74
"2023-01-01 07:00:00",5456,9.97,81.7,0,0,265.8,2.991,202.7,4.705,8.38,7.42,0.45,0.172,6.986,4.39
"2023-01-01 07:10:00",5457,9.68,82.8,0,0,265.8,2.921,202.4,10.09,8.07,7.417,0.45,0.172,6.988,4.71
"2023-01-01 07:20:00",5458,9.58,83.3,0,0,265.9,3.064,202.9,5.285,7.94,7.399,0.45,0.172,6.99,3.9
"2023-01-01 07:30:00",5459,9.57,83.5,0,0,265.9,3.082,204,5.961,7.99,7.412,0.45,0.172,6.992,4.62
"2023-01-01 07:40:00",5460,9.41,84.2,0,0.006,266,3.023,204.2,5.746,7.897,7.393,0.45,0.172,6.992,4.51
"2023-01-01 07:50:00",5461,9.09,85.7,0,0.299,266.6,2.804,209.9,6,7.483,7.393,0.45,0.172,6.993,4.25
"2023-01-01 08:00:00",5462,9.14,85.4,0,0.842,266.5,2.864,210,4.375,7.623,7.387,0.449,0.172,6.993,3.62
"2023-01-01 08:10:00",5463,9.07,85.7,0,2.194,266.6,3.08,206.1,5.576,7.554,7.382,0.449,0.171,6.991,4.12
"2023-01-01 08:20:00",5464,8.96,86.3,0,5.402,266.6,3.155,208,5.189,7.536,7.365,0.449,0.172,6.997,4.02
"2023-01-01 08:30:00",5465,9.07,86.1,0,12.03,266.6,3.289,207.3,5.177,7.747,7.365,0.449,0.172,6.994,4.39
"2023-01-01 08:40:00",5466,9.12,86.2,0,30.54,266.5,3.303,203.9,4.959,7.906,7.332,0.449,0.172,6.996,4.57
"2023-01-01 08:50:00",5467,9.28,85.5,0,39.67,266.1,2.778,211.9,9.11,8.06,7.334,0.449,0.172,6.998,4.56
"2023-01-01 09:00:00",5468,9.2,85.7,0,35.71,266.5,2.479,214.7,5.525,7.798,7.32,0.449,0.172,6.996,3.21
"2023-01-01 09:10:00",5469,9.29,85.2,0,48.58,266.1,3.551,211.1,4.593,8.04,7.309,0.449,0.172,6.991,5.3
"2023-01-01 09:20:00",5470,9.28,85.3,0,53.73,265.9,3.589,209.4,4.204,8.24,7.288,0.449,0.172,6.995,4.68
"2023-01-01 09:30:00",5471,9.41,84.8,0,58.24,265.9,3.714,207.6,4.215,8.41,7.287,0.449,0.172,6.993,4.85
"2023-01-01 09:40:00",5472,9.61,84.4,0,102.8,265.9,3.62,205.3,3.885,8.79,7.256,0.449,0.171,7.001,4.38
"2023-01-01 09:50:00",5473,10,83.1,0,143.1,265.4,3.591,203.2,4.191,9.41,7.253,0.449,0.172,6.992,4.53
"2023-01-01 10:00:00",5474,10.29,81.9,0,168,265.2,3.415,206.6,5.36,9.88,7.24,0.449,0.171,6.993,5
"2023-01-01 10:10:00",5475,10.61,81.6,0,178.9,265.2,3.489,208.2,6.58,10.32,7.234,0.449,0.171,6.991,4.63
"2023-01-01 10:20:00",5476,10.72,81.7,0,169.5,265.2,3.706,200.7,4.865,10.48,7.209,0.449,0.171,6.986,4.73
"2023-01-01 10:30:00",5477,10.83,81.3,0,169.6,265.2,4.333,202.6,4.856,10.55,7.21,0.449,0.171,6.988,5.56
"2023-01-01 10:40:00",5478,10.86,81.1,0,169,265.1,4.488,203.7,4.04,10.57,7.19,0.449,0.171,6.983,6.02
"2023-01-01 10:50:00",5479,10.98,81.3,0,201.4,265.1,4.187,204.2,4.519,10.82,7.182,0.449,0.171,6.986,5.82
"2023-01-01 11:00:00",5480,11.1,81.2,0,174.4,265.1,4.181,205.7,4.451,10.86,7.181,0.449,0.171,6.988,5.33
"2023-01-01 11:10:00",5481,11.35,80.3,0,193.5,265.1,3.761,208.8,4.26,11.11,7.189,0.449,0.171,6.981,4.66
"2023-01-01 11:20:00",5482,11.79,77.95,0,213.3,264.7,3.026,209.2,5.199,11.6,7.171,0.449,0.171,6.982,4.54
"2023-01-01 11:30:00",5483,12.16,76.84,0,245.3,264.5,2.325,199.2,6.485,12.25,7.182,0.449,0.171,6.983,3.5
"2023-01-01 11:40:00",5484,12.42,76.5,0,282,264,2.496,192.7,6.014,12.76,7.182,0.449,0.171,6.977,3.43
"2023-01-01 11:50:00",5485,12.79,75.82,0,293.2,263.8,3.117,189.6,7.726,13.2,7.182,0.449,0.171,6.978,4.28
"2023-01-01 12:00:00",5486,12.81,76.08,0,284,264.2,3.805,189.1,5.543,13.06,7.194,0.449,0.171,6.98,5.01
"2023-01-01 12:10:00",5487,13.12,74.94,0,287.6,263.8,3.036,182.9,7.399,13.4,7.196,0.449,0.171,6.977,4.41
"2023-01-01 12:20:00",5488,13.36,74.38,0,289.4,263.7,3.095,179.8,7.666,13.76,7.199,0.449,0.171,6.971,4.74
"2023-01-01 12:30:00",5489,13.48,74.04,0,288.3,263.7,3.92,176.7,6.898,13.77,7.218,0.449,0.171,6.974,5.06
"2023-01-01 12:40:00",5490,13.73,73.67,0,288.9,263.7,3.665,183.4,6.988,14.03,7.222,0.449,0.171,6.976,4.77
