"TOA5","194_HEI","CR800","45092","CR800.Std.32.05","CPU:Acker_V2_70_test.CR8","610","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2023-01-01 00:00:00",3210,14.87,67.66,0,0,270.2,3.193,169.1,9.95,"NAN","NAN","NAN",0,0,4.92
"2023-01-01 00:10:00",3211,14.78,68.02,0,0,270.3,3.022,166.9,9,"NAN","NAN","NAN",0,0,4.74
"2023-01-01 00:20:00",3212,14.59,68.7,0,0,270.7,2.803,169.4,9.68,"NAN","NAN","NAN",0,0,4.33
"2023-01-01 00:30:00",3213,14.93,67.53,0,0,270.3,3.532,165.1,13.23,"NAN","NAN","NAN",0,0,6.55
"2023-01-01 00:40:00",3214,15.05,66.98,0,0,270,3.332,156.7,12.68,"NAN","NAN","NAN",0,0,5.18
"2023-01-01 00:50:00",3215,14.85,67.63,0,0,270,2.939,168.7,20.05,"NAN","NAN","NAN",0,0,4.99
"2023-01-01 01:00:00",3216,14.72,68.06,0,0,270.3,2.874,179.6,9.92,"NAN","NAN","NAN",0,0,4.57
"2023-01-01 01:10:00",3217,14.84,67.64,0,0,270.3,3.324,166.2,15.88,"NAN","NAN","NAN",0,0,6.26
"2023-01-01 01:20:00",3218,14.85,67.44,0,0,270,3.047,168.9,15.8,"NAN","NAN","NAN",0,0,5.73
"2023-01-01 01:30:00",3219,14.71,67.94,0,0,270.1,3.048,173.7,10.05,"NAN","NAN","NAN",0,0,4.85
"2023-01-01 01:40:00",3220,14.72,67.77,0,0,270.2,3.202,179.7,10.01,"NAN","NAN","NAN",0,0,4.48
"2023-01-01 01:50:00",3221,14.65,67.82,0,0,270.3,2.738,172,8.76,"NAN","NAN","NAN",0,0,4.54
"2023-01-01 02:00:00",3222,14.73,67.4,0,0,270.1,2.913,165.1,10.88,"NAN","NAN","NAN",0,0,5.15
"2023-01-01 02:10:00",3223,14.52,67.98,0,0,270.6,2.323,170.1,9.18,"NAN","NAN","NAN",0,0,3.57
"2023-01-01 02:20:00",3224,14.66,67.39,0,0,270.4,2.847,181.3,12.96,"NAN","NAN","NAN",0,0,5.01
"2023-01-01 02:30:00",3225,14.67,67.25,0,0,270.2,2.578,172.5,7.113,"NAN","NAN","NAN",0,0,3.9
"2023-01-01 02:40:00",3226,14.7,66.94,0,0,270.2,2.661,177.5,6.065,"NAN","NAN","NAN",0,0,4
"2023-01-01 02:50:00",3227,14.26,68.41,0,0,270.4,2.719,188.4,5.949,"NAN","NAN","NAN",0,0,4.31
"2023-01-01 03:00:00",3228,13.81,70.03,0,0,270.7,2.01,191.6,10.05,"NAN","NAN","NAN",0,0,2.63
"2023-01-01 03:10:00",3229,13.79,70.06,0,0,270.7,1.571,168.9,12.34,"NAN","NAN","NAN",0,0,2.58
"2023-01-01 03:20:00",3230,13.99,69.17,0,0,270.7,1.352,164.5,10.98,"NAN","NAN","NAN",0,0,2.62
"2023-01-01 03:30:00",3231,13.82,69.38,0,0,270.7,1.126,145.7,14.61,"NAN","NAN","NAN",0,0,1.86
"2023-01-01 03:40:00",3232,12.97,72.11,0,0,270.7,1.239,124.9,8.57,"NAN","NAN","NAN",0,0,1.73
"2023-01-01 03:50:00",3233,12.81,72.83,0,0,270.9,1.327,126.7,11.8,"NAN","NAN","NAN",0,0,2.74
"2023-01-01 04:00:00",3234,12.82,72.73,0,0,270.8,1.171,140.6,14.55,"NAN","NAN","NAN",0,0,2.07
"2023-01-01 04:10:00",3235,13.35,71.01,0,0,270.7,1.542,156.4,10.43,"NAN","NAN","NAN",0,0,2.76
"2023-01-01 04:20:00",3236,12.98,72.02,0,0,270.7,1.494,152.6,15.2,"NAN","NAN","NAN",0,0,2.38
"2023-01-01 04:30:00",3237,13.22,71.46,0,0,270.7,1.929,176.3,9.94,"NAN","NAN","NAN",0,0,3.11
"2023-01-01 04:40:00",3238,13.66,69.67,0,0,270.7,1.981,178.8,9.01,"NAN","NAN","NAN",0,0,3.77
"2023-01-01 04:50:00",3239,13.66,69.63,0,0,270.7,2.48,183.2,5.703,"NAN","NAN","NAN",0,0,3.81
"2023-01-01 05:00:00",3240,13.82,69.04,0,0,270.7,2.437,189.1,6.8,"NAN","NAN","NAN",0,0,3.43
"2023-01-01 05:10:00",3241,13.93,68.48,0,0,270.7,2.5,200.4,7.872,"NAN","NAN","NAN",0,0,3.91
"2023-01-01 05:20:00",3242,13.98,68.17,0,0,270.7,2.66,184.3,5.324,"NAN","NAN","NAN",0,0,3.97
"2023-01-01 05:30:00",3243,14.44,66.44,0,0,270.6,2.967,184.1,3.977,"NAN","NAN","NAN",0,0,3.98
"2023-01-01 05:40:00",3244,14.28,66.67,0,0,270.5,2.119,173.2,10.06,"NAN","NAN","NAN",0,0,2.99
"2023-01-01 05:50:00",3245,13.54,68.8,0,0,270.7,1.636,164.3,8.61,"NAN","NAN","NAN",0,0,2.5
"2023-01-01 06:00:00",3246,13.78,67.7,0,0,270.7,2.094,175.3,6.113,"NAN","NAN","NAN",0,0,2.86
"2023-01-01 06:10:00",3247,13.87,66.81,0,0,270.7,2.224,179.5,6.844,"NAN","NAN","NAN",0,0,2.89
"2023-01-01 06:20:00",3248,13.84,66.61,0,0,270.7,2.15,184.4,3.846,"NAN","NAN","NAN",0,0,2.55
"2023-01-01 06:30:00",3249,13.65,66.72,0,0,270.7,1.931,188.4,3.492,"NAN","NAN","NAN",0,0,2.38
"2023-01-01 06:40:00",3250,13.75,65.89,0,0,270.7,1.733,193.7,5.012,"NAN","NAN","NAN",0,0,2.42
"2023-01-01 06:50:00",3251,13.84,65.16,0,0,270.7,1.403,200.2,7.537,"NAN","NAN","NAN",0,0,2.05
"2023-01-01 07:00:00",3252,13.82,64.81,0,0,270.7,1.322,207.4,7.452,"NAN","NAN","NAN",0,0,1.84
"2023-01-01 07:10:00",3253,13.78,64.75,0,0,270.7,1.372,189.2,6.864,"NAN","NAN","NAN",0,0,1.91
"2023-01-01 07:20:00",3254,13.93,63.91,0,0,270.6,1.066,216.5,26.07,"NAN","NAN","NAN",0,0,1.97
"2023-01-01 07:30:00",3255,12.39,69.3,0,0,270.7,1.049,250.3,18.76,"NAN","NAN","NAN",0,0,2.1
"2023-01-01 07:40:00",3256,10.06,78.28,0,0,271.6,1.132,254.7,9.44,"NAN","NAN","NAN",0,0,1.73
"2023-01-01 07:50:00",3257,8.52,85.4,0,0.123,273.1,1.239,251,16.78,"NAN","NAN","NAN",0,0,2.16
"2023-01-01 08:00:00",3258,8.11,87.7,0,0.737,274.7,1.111,164.2,45.05,"NAN","NAN","NAN",0,0,2.13
"2023-01-01 08:10:00",3259,8.37,87.6,0,1.814,274,1.297,108.9,14.41,"NAN","NAN","NAN",0,0,2.17
"2023-01-01 08:20:00",3260,9.86,80.8,0,3.84,272.4,0.711,37.13,44.89,"NAN","NAN","NAN",0,0,1.54
"2023-01-01 08:30:00",3261,10.16,78.58,0,8.67,272,0.8,322.2,31.46,"NAN","NAN","NAN",0,0,1.44
"2023-01-01 08:40:00",3262,10.35,77.67,0,18.11,272,1.049,265.3,30.48,"NAN","NAN","NAN",0,0,1.63
"2023-01-01 08:50:00",3263,10.41,76.68,0,24.24,271.9,1.263,227.8,10.95,"NAN","NAN","NAN",0,0,2.3
"2023-01-01 09:00:00",3264,9.89,78.65,0,34.27,272,0.933,210.4,32.4,"NAN","NAN","NAN",0,0,2.31
"2023-01-01 09:10:00",3265,10.39,76.77,0,58.75,271.4,1.402,167.7,49.48,"NAN","NAN","NAN",0,0,2.37
"2023-01-01 09:20:00",3266,9.88,79.27,0,80.4,271.3,0.574,224.2,59.21,"NAN","NAN","NAN",0,0,1.75
"2023-01-01 09:30:00",3267,9.68,80.4,0,70.53,271.3,0.724,240.4,26.27,"NAN","NAN","NAN",0,0,1.6
"2023-01-01 09:40:00",3268,10,79.31,0,66.08,271.3,1.379,239.3,22.76,"NAN","NAN","NAN",0,0,2.63
"2023-01-01 09:50:00",3269,10.62,77.01,0,93.6,271.3,1.243,172.6,27.29,"NAN","NAN","NAN",0,0,2.05
"2023-01-01 10:00:00",3270,11.74,72.9,0,116.7,270.7,1.4,175.3,19.42,"NAN","NAN","NAN",0,0,1.98
"2023-01-01 10:10:00",3271,12.47,70.79,0,173.8,270.2,1.476,201.2,9.31,"NAN","NAN","NAN",0,0,2.03
"2023-01-01 10:20:00",3272,13.33,68.99,0,197.7,269.8,1.47,184.3,22.22,"NAN","NAN","NAN",0,0,2.51
"2023-01-01 10:30:00",3273,13.94,65.99,0,182.6,269.3,1.496,183,15.12,"NAN","NAN","NAN",0,0,2.09
"2023-01-01 10:40:00",3274,14.51,65.26,0,186.4,269.3,1.09,170.4,25.29,"NAN","NAN","NAN",0,0,2.07
"2023-01-01 10:50:00",3275,15.18,62.02,0,215.9,269,0.999,178.9,26.47,"NAN","NAN","NAN",0,0,1.83
"2023-01-01 11:00:00",3276,15.5,60.81,0,233.3,268.7,1.504,215,10.02,"NAN","NAN","NAN",0,0,2.44
"2023-01-01 11:10:00",3277,15.94,59.89,0,251.5,268.6,1.718,189.3,14.32,"NAN","NAN","NAN",0,0,2.41
"2023-01-01 11:20:00",3278,16.21,58.28,0,257.2,268.1,1.763,187.7,11.55,"NAN","NAN","NAN",0,0,3.2
"2023-01-01 11:30:00",3279,16.32,57.91,0,245.1,267.9,1.794,216.9,12.42,"NAN","NAN","NAN",0,0,2.83
"2023-01-01 11:40:00",3280,16.1,59.48,0,251.5,268.2,2.079,238,10.44,"NAN","NAN","NAN",0,0,3.35
"2023-01-01 11:50:00",3281,15.63,64.36,0,255,268.5,1.697,253,13,"NAN","NAN","NAN",0,0,3.01
"2023-01-01 12:00:00",3282,15.22,68.23,0,259.5,268.5,1.462,229.5,22.89,"NAN","NAN","NAN",0,0,2.67
"2023-01-01 12:10:00",3283,16.08,63.53,0,275.5,268.4,1.154,160.7,17.68,"NAN","NAN","NAN",0,0,1.94
"2023-01-01 12:20:00",3284,16.65,59.66,0,293.4,267.9,1.45,165.7,14.35,"NAN","NAN","NAN",0,0,2.61
"2023-01-01 12:30:00",3285,16.81,57.51,0,287.5,267.8,1.358,179.4,21.04,"NAN","NAN","NAN",0,0,2.29
"2023-01-01 12:40:00",3286,16.83,57.24,0,295.7,267.6,1.28,179.7,17.07,"NAN","NAN","NAN",0,0,2.33
"2023-01-01 12:50:00",3287,17.18,56.69,0,289.8,267.4,1.126,172.1,17.94,"NAN","NAN","NAN",0,0,2.07
"2023-01-01 13:00:00",3288,17.31,54.51,0,291.8,267.2,1.541,174.5,12.09,"NAN","NAN","NAN",0,0,2.7
"2023-01-01 13:10:00",3289,17.56,54.86,0,336.7,267.2,0.982,190.9,23.84,"NAN","NAN","NAN",0,0,1.87
"2023-01-01 13:20:00",3290,17.56,55.08,0,357.6,267.2,1.493,222.2,22.96,"NAN","NAN","NAN",0,0,2.29
