"TOA5","303_IFF","CR300","7433","CR300.Std.06.00","CPU:Spargel_IFF_V1_05.CR300","690","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","TB0cm_Avg","TB20cm_Avg","VWC20cm_Avg"
"TS","RN","Deg C","%","mm","W/m^2","meters/second","Deg","Deg","Deg C","Deg C","m^3/m^3"
"","","Avg","Avg","Tot","Avg","WVc","WVc","WVc","Avg","Avg","Avg"
"2024-01-01 00:00:00",8581,7.293,81.4,0,0.009,6.055,217.4,7.766,"NAN",7.197,0.143
"2024-01-01 00:10:00",8582,7.312,81.7,0,0.01,6.293,213,9.52,"NAN",7.195,0.143
"2024-01-01 00:20:00",8583,7.341,81.7,0,0.007,5.705,212.6,7.509,"NAN",7.19,0.143
"2024-01-01 00:30:00",8584,7.494,81.4,0,0.008,6.439,212.5,7.607,"NAN",7.189,0.143
"2024-01-01 00:40:00",8585,7.62,80.9,0,0.006,6.54,214,8.07,"NAN",7.187,0.143
"2024-01-01 00:50:00",8586,7.734,80.6,0,0.008,6.43,210.2,9.95,"NAN",7.187,0.143
"2024-01-01 01:00:00",8587,7.683,81,0,0.011,6.65,212.5,9.17,"NAN",7.183,0.143
"2024-01-01 01:10:00",8588,7.473,83.1,0,0.011,6.731,218,9.23,"NAN",7.178,0.143
"2024-01-01 01:20:00",8589,7.168,86.1,0.1,0.008,6.07,216.4,6.643,"NAN",7.176,0.143
"2024-01-01 01:30:00",8590,7.1,86.8,0,0.008,6.541,215.6,7.756,"NAN",7.172,0.143
"2024-01-01 01:40:00",8591,7.146,86.2,0,0.01,6.421,212.8,8.48,"NAN",7.167,0.143
"2024-01-01 01:50:00",8592,7.234,85.9,0,0.007,6.84,210.4,9.05,"NAN",7.164,0.143
"2024-01-01 02:00:00",8593,7.178,86.2,0,0.008,5.81,208.5,9.28,"NAN",7.161,0.143
"2024-01-01 02:10:00",8594,7.068,86.6,0,0.008,5.502,203.5,10.67,"NAN",7.158,0.143
"2024-01-01 02:20:00",8595,7.042,86.6,0,0.007,6.09,205.3,9.87,"NAN",7.158,0.143
"2024-01-01 02:30:00",8596,7.06,86.2,0,0.009,5.638,204.9,7.757,"NAN",7.151,0.143
"2024-01-01 02:40:00",8597,7.138,85.9,0,0.007,5.909,208.5,9.42,"NAN",7.15,0.143
"2024-01-01 02:50:00",8598,7.154,86.3,0,0.01,6.039,209,7.793,"NAN",7.147,0.143
"2024-01-01 03:00:00",8599,6.966,88.3,0.1,0.005,6.035,206.6,7.927,"NAN",7.14,0.143
"2024-01-01 03:10:00",8600,6.944,88.6,0,0.009,5.617,211,8.02,"NAN",7.134,0.143
"2024-01-01 03:20:00",8601,7.161,87,0,0.006,6.096,210.5,10.05,"NAN",7.135,0.143
"2024-01-01 03:30:00",8602,7.265,86,0,0.01,6.221,212.7,8.75,"NAN",7.132,0.143
"2024-01-01 03:40:00",8603,7.28,85.4,0,0.006,6.048,205.8,9.11,"NAN",7.128,0.143
"2024-01-01 03:50:00",8604,7.386,84.7,0,0.009,6.312,205.2,11.06,"NAN",7.126,0.143
"2024-01-01 04:00:00",8605,7.505,83.9,0,0.01,6.379,204.6,10.55,"NAN",7.123,0.143
"2024-01-01 04:10:00",8606,7.582,83.4,0,0.012,6.614,203.9,9.54,"NAN",7.121,0.143
"2024-01-01 04:20:00",8607,7.585,83.4,0,0.006,6.4,209.5,8.34,"NAN",7.117,0.143
"2024-01-01 04:30:00",8608,7.418,84.5,0,0.009,6.41,208.7,10.25,"NAN",7.113,0.143
"2024-01-01 04:40:00",8609,7.378,84.5,0,0.009,6.466,203.4,9.07,"NAN",7.111,0.143
"2024-01-01 04:50:00",8610,7.264,84.9,0,0.009,6,206.4,8.93,"NAN",7.109,0.143
"2024-01-01 05:00:00",8611,7.245,84.5,0,0.009,6.257,204.7,9.45,"NAN",7.107,0.143
"2024-01-01 05:10:00",8612,7.131,84.4,0,0.009,6.204,205.4,9.5,"NAN",7.105,0.143
