epoch,step,min,max,mean,std
1,10000,-1.189100742340088,2.3367185592651367,-0.003356567583978176,0.3187980651855469
2,20000,-2.426013231277466,1.9311778545379639,0.023787524551153183,0.3840577006340027
3,30000,-4.451907157897949,3.1345462799072266,0.0022268546745181084,0.6080753803253174
4,40000,-1.0928999185562134,2.044503688812256,0.005680466536432505,0.3667440116405487
5,50000,-3.3386242389678955,3.3055694103240967,0.008842629380524158,0.5144434571266174
6,60000,-8.823150634765625,8.400723457336426,0.005324341356754303,1.2056100368499756
7,70000,-4.666841983795166,5.232623100280762,-0.008044900372624397,0.7187286615371704
8,80000,-7.898143768310547,7.037532806396484,0.012786079198122025,1.1132036447525024
9,90000,-3.7847037315368652,3.711336135864258,-0.012095867656171322,0.7365845441818237
10,100000,-7.0198259353637695,7.829240322113037,0.05231236666440964,1.166999101638794
