epoch,step,min,max,mean,std
1,10000,-0.10089728981256485,0.11309736222028732,0.0002458253293298185,0.0148959681391716
2,20000,-0.07027987390756607,0.11695151031017303,0.0021430219057947397,0.011669150553643703
3,30000,-0.16337600350379944,0.2609420716762543,0.0006209200946614146,0.020716950297355652
4,40000,-0.1271377056837082,0.16832412779331207,0.00143129110801965,0.013221441768109798
5,50000,-0.12824782729148865,0.13849647343158722,0.0017372336005792022,0.011380958370864391
6,60000,-0.3338452875614166,0.24409979581832886,-0.0029420130886137486,0.024832764640450478
7,70000,-0.24730779230594635,0.17010383307933807,0.00046861200826242566,0.018889734521508217
8,80000,-0.36365199089050293,0.35248517990112305,0.0015437313122674823,0.024581611156463623
9,90000,-0.24133771657943726,0.14112982153892517,-0.001892001717351377,0.018605520948767662
10,100000,-0.3110989034175873,0.2832324504852295,0.003730819094926119,0.02103520929813385
