epoch,step,min,max,mean,std
1,10000,-0.00796642154455185,0.0032172086648643017,2.765325189102441e-05,0.0012508071959018707
2,20000,-0.02032005600631237,0.00871138833463192,0.00040150032145902514,0.002875203499570489
3,30000,-0.012443454004824162,0.010873747989535332,9.490133379586041e-06,0.00311164278537035
4,40000,-0.015119972638785839,0.04134763404726982,-0.00030811241595074534,0.004697554744780064
5,50000,-0.009649517945945263,0.019329341128468513,0.0003560940967872739,0.003903539152815938
6,60000,-0.014948946423828602,0.028249695897102356,0.0008595038671046495,0.005130876321345568
7,70000,-0.03906602784991264,0.022747211158275604,-0.0006610791897401214,0.0059352777898311615
8,80000,-0.01103260274976492,0.02660767175257206,1.3932862202636898e-05,0.002590995980426669
9,90000,-0.01697855442762375,0.006169412285089493,-0.00019986277038697153,0.00220108893699944
10,100000,-0.01707303710281849,0.00910848006606102,-8.266376971732825e-05,0.0022326004691421986
