epoch,step,min,max,mean,std
1,10000,-7.660167466383427e-05,7.611831824760884e-05,-1.9859618305417825e-07,1.2971025171282236e-05
2,20000,-2.4822107661748305e-05,2.337947989872191e-05,6.300926003177665e-08,4.935315701004583e-06
3,30000,-1.8806604202836752e-05,1.639700712985359e-05,-3.093776967943995e-08,3.2247080525849015e-06
4,40000,-1.5241953406075481e-05,1.3539505744120106e-05,9.061776040653058e-08,3.350283805048093e-06
5,50000,-7.947945050545968e-06,8.151534530043136e-06,7.908163901504395e-09,2.04398088499147e-06
6,60000,-1.5891631846898235e-05,1.4547773389494978e-05,-6.518303052871488e-08,2.7954067718383158e-06
7,70000,-9.169179065793287e-06,1.0177841431868728e-05,4.730051017531878e-09,1.9841456833091797e-06
8,80000,-6.419033070415026e-06,6.641293111897539e-06,-1.4876437859356884e-09,1.2814931551474729e-06
9,90000,-1.2383447938191239e-05,1.161247564596124e-05,-3.378554325195182e-09,1.0349748436055961e-06
10,100000,-8.595985491410829e-06,8.543588592146989e-06,9.10733355397042e-09,1.7015008779708296e-06
