epoch,step,min,max,mean,std
1,10000,-0.1134820282459259,-0.1134820282459259,-0.1134820282459259,0.0
2,20000,-0.1264164000749588,-0.1264164000749588,-0.1264164000749588,0.0
3,30000,-0.38913458585739136,-0.38913458585739136,-0.38913458585739136,0.0
4,40000,1.228952169418335,1.228952169418335,1.228952169418335,0.0
5,50000,0.5239883065223694,0.5239883065223694,0.5239883065223694,0.0
6,60000,0.6243951320648193,0.6243951320648193,0.6243951320648193,0.0
7,70000,-1.15413498878479,-1.15413498878479,-1.15413498878479,0.0
8,80000,2.8646979331970215,2.8646979331970215,2.8646979331970215,0.0
9,90000,1.8815661668777466,1.8815661668777466,1.8815661668777466,0.0
10,100000,16.373489379882812,16.373489379882812,16.373489379882812,0.0
