epoch,step,min,max,mean,std
1,10000,-0.17102068662643433,-0.17102068662643433,-0.17102068662643433,0.0
2,20000,1.0992623567581177,1.0992623567581177,1.0992623567581177,0.0
3,30000,-284.23541259765625,-284.23541259765625,-284.23541259765625,0.0
4,40000,1665.2177734375,1665.2177734375,1665.2177734375,0.0
5,50000,-18492.02734375,-18492.02734375,-18492.02734375,0.0
6,60000,49070.67578125,49070.67578125,49070.67578125,0.0
7,70000,22578.724609375,22578.724609375,22578.724609375,0.0
8,80000,86447.1875,86447.1875,86447.1875,0.0
9,90000,-374190.8125,-374190.8125,-374190.8125,0.0
10,100000,-264638.9375,-264638.9375,-264638.9375,0.0
