epoch,step,min,max,mean,std
1,1000,-0.9709349274635315,0.013645045459270477,-0.29161325097084045,0.2614613473415375
2,2000,-1.038813591003418,0.026579687371850014,-0.2838309109210968,0.2687424421310425
3,3000,-0.7303640246391296,0.3520659804344177,0.07343118637800217,0.14965888857841492
4,4000,-0.8439019322395325,0.03635810315608978,-0.21607331931591034,0.21605947613716125
5,5000,-1.5867663621902466,0.13653632998466492,-0.3514491319656372,0.3819355070590973
6,6000,-2.144979476928711,0.08329334855079651,-0.6024560928344727,0.589497983455658
7,7000,-2.040160655975342,0.048036620020866394,-0.6789324283599854,0.6405638456344604
8,8000,-2.0299413204193115,0.010797783732414246,-0.6236659288406372,0.5713256001472473
9,9000,-3.0047643184661865,0.04341910406947136,-0.9475554823875427,0.9018025994300842
10,10000,-2.3962607383728027,0.027113106101751328,-0.9810302257537842,0.8752163052558899
11,11000,-1.8473701477050781,0.08141135424375534,-0.4460589289665222,0.46471527218818665
12,12000,-1.2375468015670776,0.1042112410068512,-0.4301311671733856,0.4168054163455963
13,13000,-0.7142881751060486,0.6920649409294128,0.06684732437133789,0.19218116998672485
14,14000,-1.1344752311706543,0.01242898777127266,-0.45671913027763367,0.41586872935295105
15,15000,-1.185760259628296,0.04676974192261696,-0.3748060464859009,0.35039564967155457
16,16000,-0.7351127862930298,0.41972973942756653,-0.01609531231224537,0.17192628979682922
17,17000,-1.007537841796875,1.1537777185440063,0.40423184633255005,0.4815690815448761
18,18000,-5.588550090789795,0.0,-2.3817005157470703,2.117448568344116
19,19000,-0.5116105079650879,0.5731453895568848,0.1486566662788391,0.23720185458660126
20,20000,-1.0375239849090576,2.2135472297668457,0.5649961829185486,0.5862519145011902
21,21000,-8.789052963256836,0.04426637664437294,-3.899998188018799,3.4840402603149414
22,22000,-2.8082215785980225,0.017270132899284363,-1.2809662818908691,1.1203255653381348
23,23000,-13.275633811950684,0.0,-5.848690032958984,5.405538558959961
24,24000,-3.655458688735962,0.28111928701400757,-1.5893237590789795,1.5352574586868286
25,25000,-2.023303985595703,0.31239235401153564,-0.4546934962272644,0.5035677552223206
26,26000,-6.023180961608887,0.16951526701450348,-2.675604820251465,2.474635362625122
27,27000,-20.127452850341797,0.0,-9.307302474975586,8.484959602355957
28,28000,-8.723748207092285,0.5992522239685059,-4.050848484039307,3.8930208683013916
29,29000,-17.557937622070312,0.2725576162338257,-8.199140548706055,7.545577526092529
30,30000,-9.540000915527344,7.613110542297363,3.2660176753997803,3.737844944000244
