epoch,step,min,max,mean,std
1,10000,-0.018369808793067932,0.024001222103834152,0.0002784495009109378,0.0013728465419262648
2,20000,-0.007788843475282192,0.006766666192561388,-7.82468487159349e-06,0.000521287031006068
3,30000,-0.018111448734998703,0.015990950167179108,8.510536281391978e-05,0.0013283232692629099
4,40000,-0.005645274184644222,0.005518727004528046,1.453314871469047e-05,0.0003859930147882551
5,50000,-0.014181440696120262,0.007470863871276379,-0.00010489756823517382,0.0007113628089427948
6,60000,-0.03439823538064957,0.016718775033950806,-0.00013920091441832483,0.0011923330603167415
7,70000,-0.013889996334910393,0.015414070338010788,3.210428258171305e-05,0.0008717512828297913
8,80000,-0.010197130963206291,0.01640164479613304,5.784614768344909e-05,0.0010106208501383662
9,90000,-0.011646488681435585,0.01122964359819889,-2.969553679577075e-05,0.001089284778572619
10,100000,-0.019224967807531357,0.022247938439249992,-5.621506352326833e-05,0.001506282715126872
