epoch,step,min,max,mean,std
1,10000,-0.08495624363422394,-0.08495624363422394,-0.08495624363422394,0.0
2,20000,-0.011684819124639034,-0.011684819124639034,-0.011684819124639034,0.0
3,30000,-0.08461303263902664,-0.08461303263902664,-0.08461303263902664,0.0
4,40000,-0.013895162381231785,-0.013895162381231785,-0.013895162381231785,0.0
5,50000,0.039403337985277176,0.039403337985277176,0.039403337985277176,0.0
6,60000,0.03890583664178848,0.03890583664178848,0.03890583664178848,0.0
7,70000,-0.02794751524925232,-0.02794751524925232,-0.02794751524925232,0.0
8,80000,0.008715620264410973,0.008715620264410973,0.008715620264410973,0.0
9,90000,0.09522838890552521,0.09522838890552521,0.09522838890552521,0.0
10,100000,0.06912612915039062,0.06912612915039062,0.06912612915039062,0.0
