epoch,step,min,max,mean,std
1,10000,-0.017817139625549316,0.0022857990115880966,-0.0002701187040656805,0.001402799622155726
2,20000,-0.018480030819773674,0.009626844897866249,-1.5186587916105054e-05,0.001801628153771162
3,30000,-0.005094033200293779,0.0067670755088329315,5.2813942602369934e-05,0.00105103082023561
4,40000,-0.009311698377132416,0.010381749831140041,0.00017665812629275024,0.0017817594343796372
5,50000,-0.010764104314148426,0.027858296409249306,-0.0002677544252946973,0.002842569025233388
6,60000,-0.006963888183236122,0.004125569015741348,1.1996969988103956e-05,0.0010427499655634165
7,70000,-0.006187789142131805,0.005510599352419376,-0.00010209403990302235,0.0010957717895507812
8,80000,-0.006216797977685928,0.006818301044404507,-6.7691202275455e-05,0.0012354223290458322
9,90000,-0.004523380659520626,0.005611301399767399,-0.00010189386375714093,0.0011863973923027515
10,100000,-0.0035978169180452824,0.005770424380898476,1.6197362128878012e-05,0.0009523445623926818
