epoch,step,min,max,mean,std
1,10000,-0.3090071678161621,0.2573215365409851,-0.016525212675333023,0.06737489253282547
2,20000,-0.3189903199672699,0.8514226078987122,0.009879752062261105,0.09392885863780975
3,30000,-0.19756421446800232,1.1046115159988403,0.03753267601132393,0.1313905268907547
4,40000,-3.126831293106079,0.6129201650619507,-0.07589000463485718,0.35782456398010254
5,50000,-0.24469487369060516,1.146369218826294,0.09378979355096817,0.15766622126102448
6,60000,-0.4233570992946625,0.6551268100738525,0.017911475151777267,0.12253522872924805
7,70000,-0.25307196378707886,1.8042513132095337,0.16882799565792084,0.2907467782497406
8,80000,-0.08541188389062881,2.3443381786346436,0.1789732128381729,0.27017742395401
9,90000,-0.18383869528770447,5.953122138977051,0.2960803508758545,0.6861724257469177
10,100000,-1.4247723817825317,1.1273339986801147,0.009784246794879436,0.2837197780609131
