epoch,step,min,max,mean,std
1,10000,-0.018000172451138496,0.010150812566280365,-0.0009516692953184247,0.003896967740729451
2,20000,-0.08738600462675095,0.014108753763139248,-0.004622376523911953,0.010918710380792618
3,30000,-0.016872085630893707,0.014056130312383175,-0.0014160189311951399,0.004597187042236328
4,40000,-0.004490117076784372,0.09483247995376587,0.005537336692214012,0.011594217270612717
5,50000,-0.07380770146846771,0.002504795789718628,-0.006584341637790203,0.00997612252831459
6,60000,-0.11663524061441422,0.0009057046263478696,-0.007940967567265034,0.01376526802778244
7,70000,-0.0027923667803406715,0.11584259569644928,0.010932104662060738,0.017234323546290398
8,80000,-0.005345229059457779,0.02968667820096016,0.002750610699877143,0.0051978714764118195
9,90000,-0.012835413217544556,0.0369701012969017,0.002216432010754943,0.005399241577833891
10,100000,-0.0064141834154725075,0.03877134621143341,0.003369328798726201,0.006356694735586643
