epoch,step,min,max,mean,std
1,10000,-0.0002055176446447149,0.00016628710727673024,-1.5648367934772978e-08,4.220552000333555e-05
2,20000,-6.651699368376285e-05,6.584114453289658e-05,1.4119436855253298e-06,1.5904539395705797e-05
3,30000,-4.6063381887506694e-05,6.36735640000552e-05,5.332539103619638e-07,1.2336918189248536e-05
4,40000,-0.00011301699123578146,6.452634261222556e-05,-1.139953837991925e-06,1.2426246030372567e-05
5,50000,-6.982768536545336e-05,3.471301170065999e-05,-8.075774644566991e-07,9.07351841306081e-06
6,60000,-5.254830466583371e-05,5.800411963718943e-05,6.831383814187575e-08,7.73018200561637e-06
7,70000,-5.9728408814407885e-05,5.064489596406929e-05,4.1831526687019505e-07,6.354428933263989e-06
8,80000,-1.0508819286769722e-05,3.272941103205085e-05,3.553667227151891e-07,3.2582152016402688e-06
9,90000,-2.3498851078329608e-05,1.984807022381574e-05,-1.1466589455721987e-07,2.5277017812186386e-06
10,100000,-4.622407868737355e-05,4.542534952634014e-05,2.6095875682585756e-08,4.43862654719851e-06
