epoch,step,min,max,mean,std
1,10000,-0.0001746155321598053,0.00015369278844445944,8.05938071835044e-09,1.2615548257599585e-05
2,20000,-6.91149034537375e-05,6.95641283527948e-05,2.015295308410714e-07,4.580928361974657e-06
3,30000,-3.798283069045283e-05,5.465704089147039e-05,5.7289682331429503e-08,3.1083111480256775e-06
4,40000,-8.619486470706761e-05,5.078213143860921e-05,-1.6642542277622852e-07,3.032909944522544e-06
5,50000,-5.5122418416431174e-05,4.2096871766261756e-05,-7.629040510437335e-08,1.8655518942978233e-06
6,60000,-4.994152550352737e-05,5.7261870097136125e-05,-1.7502923554957306e-09,1.6881629107956542e-06
7,70000,-3.868994099320844e-05,5.3009520343039185e-05,4.192690639115426e-08,1.308288233303756e-06
8,80000,-1.174966473627137e-05,2.600899460958317e-05,5.3648193443223136e-08,8.382904752579634e-07
9,90000,-3.0411498300964013e-05,1.9698680262081325e-05,-1.5030810374128123e-08,6.099663778513786e-07
10,100000,-3.775323784793727e-05,3.092990300501697e-05,1.2961631767893778e-09,9.002085903375701e-07
