epoch,step,min,max,mean,std
1,10000,-0.0002365673572057858,0.0003722051333170384,7.083990112732863e-06,6.727242725901306e-05
2,20000,-0.00017995465896092355,0.0001271116198040545,-6.50106267130468e-06,3.6805824493058026e-05
3,30000,-0.00024453827063553035,0.0003242871316615492,-2.080015519823064e-06,4.1403010982321575e-05
4,40000,-2.00309823412681e-05,0.00033086506300605834,9.143563147517852e-06,3.6667777749244124e-05
5,50000,-0.00042432069312781096,0.00017971964552998543,-6.948093869141303e-06,4.659811747842468e-05
6,60000,-6.886551273055375e-05,0.00018759611702989787,1.0522796856093919e-06,1.9484346921672113e-05
7,70000,-0.000420989963458851,0.0008377004414796829,2.470668732712511e-06,5.7296358136227354e-05
8,80000,-0.0003528210800141096,4.426368104759604e-05,-1.4278050457505742e-06,2.0139032130828127e-05
9,90000,-2.9574088330264203e-05,0.000135829221107997,3.3130228871414147e-07,7.209996056189993e-06
10,100000,-0.00023827583936508745,0.00026108321617357433,-9.17711417969258e-08,1.7784046576707624e-05
