epoch,step,min,max,mean,std
1,10000,-0.03738969564437866,0.0009650872088968754,-0.0013487616088241339,0.0031416562851518393
2,20000,-0.0018940619193017483,0.005428950767964125,3.5315279092174023e-05,0.0006143222562968731
3,30000,-0.014219055883586407,0.015412474982440472,-0.0006479054572992027,0.003980341833084822
4,40000,-0.02276480384171009,0.0037005431950092316,-0.0009479617583565414,0.002374181291088462
5,50000,-0.009483704343438148,0.002989378524944186,-0.000745791126973927,0.0020063137635588646
6,60000,-0.007127284072339535,0.002148300874978304,-0.0003440988948568702,0.0011269995011389256
7,70000,-0.015153355896472931,0.007699728477746248,9.788884199224412e-06,0.0016315145185217261
8,80000,-0.002739220391958952,0.004002775996923447,5.55691949557513e-05,0.0005118238041177392
9,90000,-0.0016420474275946617,0.030759504064917564,0.0006841127178631723,0.0034709698520600796
10,100000,-0.005812223069369793,0.011274164542555809,0.00018286074919160455,0.0015887097688391805
