epoch,step,min,max,mean,std
1,10000,0.010562773793935776,0.010562773793935776,0.010562773793935776,0.0
2,20000,2.9206199645996094,2.9206199645996094,2.9206199645996094,0.0
3,30000,101.42726135253906,101.42726135253906,101.42726135253906,0.0
4,40000,1026.350830078125,1026.350830078125,1026.350830078125,0.0
5,50000,-6566.185546875,-6566.185546875,-6566.185546875,0.0
6,60000,-41388.34765625,-41388.34765625,-41388.34765625,0.0
7,70000,-16974.244140625,-16974.244140625,-16974.244140625,0.0
8,80000,-42326.3671875,-42326.3671875,-42326.3671875,0.0
9,90000,339350.6875,339350.6875,339350.6875,0.0
10,100000,113555.0703125,113555.0703125,113555.0703125,0.0
