epoch,step,min,max,mean,std
1,10000,-16.960634231567383,22.35059928894043,-0.901376485824585,6.2440714836120605
2,20000,-11151.0859375,18868.89453125,-729.994873046875,4428.17578125
3,30000,-56499808.0,61375120.0,-6979933.0,19425502.0
4,40000,-1019827264.0,1003937792.0,-164932528.0,406459296.0
5,50000,-5143138816.0,3475486464.0,-962158848.0,1837622656.0
6,60000,-9631820800.0,5283075584.0,-3434598144.0,3864204800.0
7,70000,-77819461632.0,64688906240.0,-20043665408.0,36699811840.0
8,80000,-163339206656.0,117609709568.0,-48124276736.0,75996307456.0
9,90000,-481698611200.0,238084341760.0,-120769134592.0,179156074496.0
10,100000,-1347205201920.0,1318713294848.0,-378450378752.0,761201623040.0
