epoch,step,min,max,mean,std
1,10000,-0.5784505605697632,-0.5784505605697632,-0.5784505605697632,0.0
2,20000,-23.347368240356445,-23.347368240356445,-23.347368240356445,0.0
3,30000,-14326.896484375,-14326.896484375,-14326.896484375,0.0
4,40000,-102839.125,-102839.125,-102839.125,0.0
5,50000,-308288.8125,-308288.8125,-308288.8125,0.0
6,60000,-653547.0,-653547.0,-653547.0,0.0
7,70000,-2212159.0,-2212159.0,-2212159.0,0.0
8,80000,-3632271.5,-3632271.5,-3632271.5,0.0
9,90000,-6119531.0,-6119531.0,-6119531.0,0.0
10,100000,-17318218.0,-17318218.0,-17318218.0,0.0
