epoch,step,min,max,mean,std
1,1000,-0.006094504147768021,0.02081489935517311,0.0021396633237600327,0.0047766780480742455
2,2000,-0.012783941812813282,0.11653478443622589,0.011947998777031898,0.025109224021434784
3,3000,-0.0710487887263298,0.0056024822406470776,-0.010721147060394287,0.016567176207900047
4,4000,-0.04930724948644638,0.002619505627080798,-0.00720303226262331,0.0109370406717062
5,5000,-0.025686893612146378,0.010902306996285915,-0.0014310022816061974,0.0056798262521624565
6,6000,-0.010883974842727184,0.01772839017212391,-0.00024018877593334764,0.004382215905934572
7,7000,-0.0500326082110405,0.013382639735937119,-0.002561065601184964,0.00993968266993761
8,8000,-0.00983838178217411,0.007419481407850981,-0.0005163472378626466,0.002315433928743005
9,9000,-0.03191716969013214,0.0017915364587679505,-0.0033253482542932034,0.005644934251904488
10,10000,-0.03326757624745369,0.003963469993323088,-0.004026981070637703,0.008140737190842628
11,11000,-0.005165064707398415,0.014981484040617943,0.0019771154038608074,0.00409916415810585
12,12000,-0.02635875903069973,0.0020019193179905415,-0.0026074256747961044,0.004919817671179771
13,13000,-0.009317191317677498,0.009479437954723835,-0.00011921925033675507,0.0022578618954867125
14,14000,-0.02236015908420086,0.004168509505689144,-0.0027821878902614117,0.00496895145624876
15,15000,-0.0828508511185646,0.0013742188457399607,-0.007997333072125912,0.01625758595764637
16,16000,-0.025696448981761932,0.0004983835387974977,-0.0028125292155891657,0.004533160477876663
17,17000,-0.05326370894908905,0.0022715837694704533,-0.004672614857554436,0.009671852923929691
18,18000,-0.05432874336838722,0.003487193025648594,-0.005372664425522089,0.009834625758230686
19,19000,-0.019914822652935982,0.031531985849142075,0.0007765464251860976,0.006406476721167564
20,20000,-0.011295616626739502,1.0560342073440552,0.0718674510717392,0.1917310357093811
