epoch,step,min,max,mean,std
1,10000,-0.05763566493988037,0.010953495278954506,-0.009672878310084343,0.012645578011870384
2,20000,-0.02220023423433304,0.02198660559952259,-0.0013649577740579844,0.005269994493573904
3,30000,-0.06282214820384979,0.006312074605375528,-0.011249417439103127,0.01298866979777813
4,40000,-0.010166944935917854,0.009168222546577454,-0.0014150729402899742,0.00320878392085433
5,50000,-0.0016212412156164646,0.04634217545390129,0.005234028212726116,0.006514518056064844
6,60000,-0.015726696699857712,0.03958557918667793,0.0032248692587018013,0.008643785491585732
7,70000,-0.0674075186252594,0.009053404442965984,-0.0038699328433722258,0.008529081009328365
8,80000,-0.04313017055392265,0.0402061901986599,0.0029397301841527224,0.010018976405262947
9,90000,-0.0034320801496505737,0.08563627302646637,0.008839076384902,0.012942793779075146
10,100000,-0.04885898157954216,0.09835199266672134,0.00915445201098919,0.020083529874682426
